LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
LB-98963,"WORKSHOP HOSPITALITY 1375, INC.",SWEET CHEEKS,Outdoor patio closing hour: 12:00 AM.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN AND STORAGE IN THE REAR AND MAIN ENTRANCE ON BOYLSTON STREET.  OUTDOOR PATIO AND SERVICE BAR ON PRIVATE PROPERTY WITH 116 SEATS.  Inside capacity breakdown: @ bar stools - 13; @ other stools - 20; @ tables & chairs - 64; standing - 36.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,133,"WORKSHOP HOSPITALITY 1375, INC.",NULL,1381,, Boylston St,Boston,MA,2215,"(0.0, 0.0)"
LB-144133,"SWEET LIFE CAFE, LLC",Sweetlife Cafe & Bakery,THE BOARD GRANTED PERMISSION TO SERVE ALCOHOL WITH BRUNCH ON SUNDAYS AT 10:00 AM.,FIRST FLOOR RETAIL BAKERY AND CAFE  FIRST FLOOR CONTAINS KITCHEN.,07/15/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALN,CV7ALN - Neighborhood Restricted,NULL,11:00 PM,11:30 PM,49,"Sweet Life Cafe, LLC",NULL,2243,, Dorchester Av,Dorchester,MA,2124,"(0.0, 0.0)"
LB-99679,"SSJHP, INC.",SWISH SHABU,NONE,THE STORE FRONT IS THE MOST NORTHEAST SECTION OF THE BUILDING ON 84-100 PETERBOROUGH STREET BOSTON  MA 02215.  THE LOCATION IS ROUGHLY 1600 SQUARE FEET.  2 ENTRY/EXITS ON THE FIRST FLOOR IN THE FRONT OF THE BUILDING.  EXIT IN BACK OF THE BUILDING IN THE BASEMENT FOR DELIVERY.  THE MAIN KITCHEN IS IN,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,MIDNIGHT,12:30 AM,58,"SSJHP, INC.",NULL,84,,  Peterborough ST,Boston,MA,2215,"(42.343135, -71.098841)"
LB-99310,"MUSIC HALL DINING, INC.",SYMPHONY 8,1.) NO NEW PATRONS ADMITTED AFTER 1:30 A.M.,In three rooms with dining and kitchen on the first floor  which is bi-level; in one room for patron/public use  storage  bar  and bathroom facilities in basement.  An office is also located in the basement.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,299,"MUSIC HALL DINING, INC.",NULL,,,  Westland AV,Boston,MA,2115,"(0.0, 0.0)"
LB-99106,"BOSTON SYMPHONY ORCHESTRA, INC.",SYMPHONY HALL,Higginson rm. A. 831 cap.  room. B. 190 cap.  room C 131 cap. Goldberg room A-153 cap. room B-Kobb 97 cap.  Misc. Hall 2 632 cap.  Cabot -Cashmere room 583 cap.  Misc. Hall Chorus room  70 cap.  Hatch room 563 cap.Total of 5 250 capacity.,IN WHOLE OF SAID BUILDING: TO INCLUDE AUDITORIUM  1ST GALLERY  PLATFORM  BANQUET SEATING  FUNCTION ROOM  CHORUS ROOM  HIGGINSON ROOM  COHEN ANNEX AND 1ST BALCONY RECEPTION ROOM   AND TO INCLUDE AN ADDITIONAL SEVEN ROOMS.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,4500,"BOSTON SYMPHONY ORCHESTRA, INC.",NULL,251,, Huntington Av,Boston,MA,2115,"(0.0, 0.0)"
LB-99523,THOUSAND CHEF FOODS CORP.,SYMPHONY SUSHI,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,45 Gainsborough st; in one room on the first floor  kitchen in the rear; storage in the basement.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,11:30 PM,MIDNIGHT,60,THOUSAND CHEF FOODS CORP.,NULL,45,,  Gainsborough ST,Boston,MA,2115,"(42.341989, -71.087081)"
LB-99210,"TACO MEX, INC.",TACO MEX RESTAURANT,A.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. B.) NO BAR,ONE DINING ROOM WITH ENTRANCE AT FRONT; RESTROOMS ADJACENT TO DINING ROOM; KITCHEN AT REAR; STORAGE IN BASEMENT; EMERGENCY EGRESS/REAR OF BUILDING.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,MIDNIGHT,12:30 AM,30,"TACO MEX, INC.",NULL,65,67,  Maverick SQ,East Boston,MA,2128,"(42.36968, -71.03866)"
LB-99589,3W&Z CORP.,TAIWAN CAFÉ,1. No bar on premises 2. 1:00 A.M. closing for wines and malt  3. 4:00 A.M. closing for foods service,34 Oxford St. and 60 Beach St; In two rooms and kitchen on the first floor; basement for storage.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,1:00 AM,1:30 AM,48,3W&Z CORP.,NULL,34,,  Oxford ST,Boston,MA,2111,"(42.351466, -71.060209)"
LB-101613,"IHMS (BOSTON), LLC",TAJ BOSTON,1.) 11:00 A.M. ON SUNDAYS FOR THE SERVICE OF ALCOHOLIC BEVERAGES WITH FOOD ONLY.  A.) AGREEMENT WITH NEIGHBORHOOD ASSOCIATION OF BACK BAY HEREBY INCORPORATED BY REFERENCE.  B.) BOARD WILL SCHEDULE STATUS HEARING IN MARCH 2007 RE: PARKING AND LOADING DOCK ISSUES.,Rear entrance on alley running from 15 Arlington St. in whole of said bldg. & roof; 2-10 Commonwealth Ave. in whole of floor 2 thru 7 inclusive & Condominium units in whole of floors 8-19 inclusive   (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY),11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"IHMS (BOSTON), LLC",NULL,15,,  Arlington ST,Boston,MA,2116,"(42.35283, -71.0716)"
LB-99652,"GOLDEN SUN, INC.",TALK AND WOK CAFÉ,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR.  3.) CLOSING HOUR: SUN-THURS 10:30 P.M.  FRI & SAT 11:30 P.M.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,10:30 PM,11:00 PM,49,"GOLDEN SUN, INC.",NULL,1277,,  River ST,Hyde Park,MA,2136,"(42.255952, -71.124289)"
LB-99249,"FATHER'S NEW TAMWORTH CAFE, INC.",TAM,NONE,222 Tremont Street; unnumbered entrance on Tremont Street; rear entrance from alley for stock- One room first floor; basement for kitchen and stock.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,99,"FATHER'S NEW TAMWORTH CAFE, INC.",NULL,222,, Tremont St,Boston,MA,2116,"(0.0, 0.0)"
LB-99487,"FIRST ATLAS LIONS, LLC",TANGIERINO,A.) ALCOHOL SERVICE TO CEASE AT 12:30 A.M.  B.) ALL PATRONS MUST BE OFF THE PREMISES BY 1:00 A.M. C.) MUST MAINTAIN VALID VALET PERMIT & AGREEMENT FOR OFF SITE VALET PARKING.,IN FOUR (4) ROOMS ON FIRST FLOOR WITH FULL KITCHEN AND OFFICE IN REAR  ENTRANCE AT 73 MAIN STREET INTO BAR AND ALSO AT 83 MAIN STREET INTO DINING AREAS  EMERGENCY EXIT IN REAR. CAPACITY 104 SEATED  96 STANDING.,11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALR,CV7 All Alc. Restrict.,NULL,1:00 AM,1:30 AM,200,"FIRST ATLAS LIONS, LLC",NULL,73,83,  Main ST,Charlestown,MA,2129,"(42.373887, -71.062647)"
LB-99159,"TAPEO, INC.",TAPEO,See document #0051L on reverse side.,266-268 Newbury Street; two rear exits to public alley; two rooms  two kitchens & two stockrooms in the basement; one dining room on the main floor; two summer gardens on Newbury Street.   44 patrons outside.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,MIDNIGHT,12:30 AM,198,"TAPEO, INC.",NULL,266,268,  Newbury ST,Boston,MA,2116,"(42.349163, -71.083186)"
LB-99723,"TAQUERIA EL CARRIZAL, INC.",TAQUERIA EL CARRIZAL,1.) ALCOHOL SERVICE WITH FOOD ONLY.,ONE ROOM WITH KITCHEN ON STREET LEVEL; STORAGE IN THE BASEMENT.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,MIDNIGHT,12:30 AM,50,"TAQUERIA EL CARRIZAL, INC.",NULL,254,,  Brighton AV,Allston,MA,2134,"(42.353243, -71.136649)"
LB-99746,DUARTE CORP.,TARANTA,1.  Malt  Wine and Liqueurs to be seved only in conjunction with meals.  2.  No bar.,In one room on the first floor with kitchen in the rear  one room on the second floor  storage in the basement.  Capacity breakdown: 1st fl - 30; 2nd fl - 40.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,MIDNIGHT,12:30 AM,70,DUARTE CORP.,NULL,210,,  Hanover ST,Boston,MA,2113,"(42.362919, -71.05563)"
LB-99730,"LES AMIS RESTAURANT, INC.",TASCA,Malt  wine andliqueurs to be served only in conjunction with meals.,IN TWO ROOMS ON THE FIRST FLOOR WITH KITCHEN IN THE REAR; CELLAR FOR STOCK.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,MIDNIGHT,12:30 AM,96,"LES AMIS RESTAURANT, INC.",NULL,1610,,  Commonwealth AV,Brighton,MA,2135,"(42.343355, -71.142631)"
LB-99624,"MOHAMMAD ALAM, INDIVIDUAL",TASTE OF INDIA,1.) NO BAR  2.) ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH FOOD ONLY.,IN ONE RROM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,44,"MOHAMMAD ALAM, INDIVIDUAL",NULL,1111,, Dorchester Av,Dorchester,MA,2125,"(42.312658, -71.057474)"
LB-99634,"TERIYAKI HOUSE, INC.",TERIYAKI HOUSE,(1) NO BAR. (2) ALCOHOL WITH FOOD ONLY.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN AND SUSHI BAR; STORAGE IN THE REAR.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,1:00 AM,1:30 AM,18,"TERIYAKI HOUSE, INC.",NULL,32,,W Broadway ,South Boston,MA,2127,"(42.342726, -71.056371)"
LB-149873,"TASTY BURGER 4, LLC",Tasty Burger,First floor space with 3 293 square feet on single floor  with front door on Washington Street  rear egress and L shaped area  including kitchens  bathrooms  office space and storage; also including seasonal Outside Patio Area sidewalk seating (April - October) with 5 tables containing seating for 10 patrons along side of building with existing fence  trees and planters (on City property). Patio Hours: 6:00 AM - 11:00 PM. Brian Reyelt  Manager. Hours of Operation: 6:00 AM - 2:00 AM. 149 PERSONS AS FOLLOWS: BAR STOOLS-20  TABLES  CHAIRS 32 PERSONS  BENCHS 57 PERSONS  STANDING 40 PERSONS.,First floor space with 3 293 square feet on single floor  with front door on Washington Street  rear egress and L shaped area  including kitchens  bathrooms  office space and storage; also including seasonal Outside Patio Area sidewalk seating (April - October) with 5 tables containing seating,10/25/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWN,CV7MWN - Neighborhood Restricted,NULL,2:00 AM,2:30 AM,149,"Tasty Burger 4, LLC",(617)303-0410,2304,2306,  Washington ST,Roxbury,MA,2119,"(42.33006, -71.08405)"
LB-99670,"Tasty Burger 5, LLC",Tasty Burger,NONE,In one room with dining area  bar  semi-open kitchen and storage;  two (2) entrances/exits at rear of train station  also including an outdoor patio on State Property off Dartmouth Street for 30 patrons between the hours of 7:00 a.m.-11:00 p.m.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,To: 2:00 AM,NULL,92,"Tasty Burger 5, LLC",(617)304-2980,145,, Dartmouth St,Boston,MA,2116,"(42.34738, -71.07484)"
LB-99676,TASTY BURGER CORPORATION,TASTY BURGER,NONE,ONE ROOM ON GROUND FLOOR WITH KITCHEN ON RIGHT SIDE AND HALLWAY TO RESTROOMS IN REAR; MAIN ENTRANCE ON BOYLSTON STREET AND EMERGENCY EXIT IN REAR; AND TO INCLUDE A SEASONAL OUTDOOR PATIO ALONG BOYLSTON STREET ON PRIVATE PROPERTY FOR 30 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.  Capacity b,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,2:00 AM,2:30 AM,77,TASTY BURGER CORPORATION,(617)450-9000,1301,,  Boylston ST,Boston,MA,2215,"(42.344773, -71.098278)"
LB-98812,"Tavern in the Square South Station, LLC",Tavern in the Square,NONE,NONE,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,49,"Tavern in the Square South Station, LLC",NULL,1,,  South Station  ,Boston,Ma,2110,"(0.0, 0.0)"
LB-99259,"TAVERN IN THE SQUARE CAUSEWAY STREET, LLC",Tavern in the Square,179 INDOOR SEATING  88 OUTDOOR SEATING,In one room  bar and dining area  nine (9) bathrooms  kitchen and storage.  Main entrance on Beverly Street.  Annual outdoor patio with seating capacity for 88  publicly owned by the Massachusetts Department of Transportation and operating Mondays-Sundays from 11:00 A.M.-Midnight.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,267,Tavern in the Square Causeway Street LLC,NULL,120,, Beverly St,Boston,MA,2114,"(0.0, 0.0)"
LB-98955,"JAJB, INC.",TAVERN IN THE SQUARE ALLSTON,ALCOHOL SERVICE TO BEGIN AT 10:00 A.M. ON SUNDAYS IN CONJUNCTION WITH BRUNCH.,REAR ENTRANCE TO ALLEY OFF 87 HARVARD AVENUE FOR STOCK; IN TWO ROOMS ON FIRST FLOOR  KITCHEN AND STOCK IN CELLAR.  ONE ROOM AND ANNUAL ROOFDECK PATIO FOR 150 PERSONS ON 2ND FLOOR FROM 8:00 A.M. - 12:00 A.M. DAILY.  INSIDE CAPACITY BREAKDOWN: 265 PERSONS STANDING; 315 SEATED.  PER BOSTON FIRE DEPARTM,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,580,"JAJB, INC.",NULL,161,165,  Brighton AV,Allston,MA,2134,"(0.0, 0.0)"
LB-99317,"TAVERN ROAD, INC.",TAVERN ROAD,,ON GROUND LEVEL IN TWO ROOMS; KITCHEN  BAR  TWO SEATING AREAS  RESTROOMS  OFFICE  AND STORAGE. (180 PERSONS TOTAL: 120 PERSONS SEATED; 60 PERSONS STANDING),11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,180,"TAVERN ROAD, INC.",NULL,343,,  Congress ST,Boston,MA,2210,"(42.35059, -71.04938)"
LB-99134,"TAVITAS SOUTH STATION, LLC",TAVITAS,NONE,ON ONE FLOOR:  IN ONE ROOM BAR/DINING AREA WITH SEATING FOR 47.  KITCHEN AND STORAGE IN REAR.  OUTDOOR CONCOURSE DINING AREA WITH SEATING FOR 21.  MAIN ENTRANCE AND EXIT INSIDE SOUTH STATION.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,49,"TAVITAS SOUTH STATION, LLC",NULL,1,,  South Station  ,Boston,MA,2110,"(0.0, 0.0)"
LB-99444,"TRINITY ASHMONT RESTAURANT, LLC",TAVOLO,NONE,IN THREE ROOMS; BAR AND DINING AREA IN FRONT OF PREMISES  KITCHEN AND STORAGE IN THE REAR.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,120,"TRINITY ASHMONT RESTAURANT, LLC",NULL,1918,, Dorchester Av,Dorchester,MA,2124,"(0.0, 0.0)"
LB-99224,"TEATRO, INC.",TEATRO,,IN ONE ROOM ON FIRST FLOOR  WITH KITCHEN IN REAR; BASEMENT FOR STORAGE AND BATHROOMS; ENTRANCE IN FRONT  WITH EMERGENCY EXIT IN REAR.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,126,"TEATRO, INC.",NULL,177,,  Tremont ST,Boston,MA,2111,"(42.353, -71.06405)"
LB-99453,"Z-LOVE, LLC",TELEGRAPH HILL,Capacity restrictions: no more than 6 people standing.,ENTRANCE THROUGH WINDOW FOR STOCK; EMERGENCY EXIT IN REAR; IN ONE ROOM ON FIRST FLOOR; CELLAR FOR STOCK.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,53,"Z-LOVE, LLC",NULL,289,, Dorchester St,South Boston,MA,2127,"(42.332022, -71.052758)"
LB-99804,"KLK, INC.",TEN TABLES,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,IN ONE LARGE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR; AND TO INCLUDE A SERVICE BAR FOR EMPLOYEES AND A BAR FOR PATRONS; STORAGE IN THE BASEMENT.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,NULL,12:30 AM,36,"KLK, INC.",NULL,597,, Centre St,Jamaica Plain,MA,2130,"(0.0, 0.0)"
LB-99668,"BLIFIA ASSOCIATES, LLC",TERANGA,A.) ALCOHOL WITH FOOD ONLY  B.) FOOD SERVICE AT BAR  C.) ALCOHOL WITH FOOD ONLY AT PATIO.,IN ONE ROOM ON FIRST FLOOR WITH DINING AND A BAR SEATING FOR TEN PERSONS KITCHEN AND STORAGE IN THE REAR AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL - OCTOBER FOR 20 PATRONS BETWEEN THE HOURS OF 11:30 A.M. - 11:00 P.M.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,MIDNIGHT,12:30 AM,36,"BLIFIA ASSOCIATES, LLC",NULL,1746,1748,  Washington ST,Roxbury,MA,2118,"(42.33646, -71.07653)"
LB-99729,"TERRAMIA, INC.",TERRAMIA,NONE,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN AND STORAGE IN REAR; ALSO A BASEMENT FOR STOCK.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:00 PM,11:30 PM,39,"TERRAMIA, INC.",NULL,98,, Salem St,Boston,MA,2113,"(42.36406, -71.05574)"
LB-99792,PRECIADO CORPORATION,TERTULIAS CAFE,WINES  MALT AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN  STORAGE AND TAKE-OUT AREA IN THE REAR.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:00 PM,11:30 PM,35,PRECIADO CORPORATION,NULL,26,28,  Porter ST,East Boston,MA,2128,"(0.0, 0.0)"
LB-99228,T.G.I. FRIDAY'S INC.,TGI FRIDAY'S,PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) 11:00 P.M. CLOSING HOUR.,IN TWO ROOMS ON THE FIRST FLOOR; KITCHEN PREP AREA AND STORAGE IN THE REAR WITH AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 24 PATRONS ON PRIVATE PROPERTY.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,235,T.G.I. FRIDAY'S INC.,NULL,1,,  Brigham CIR,Boston,MA,2115,"(0.0, 0.0)"
LB-99572,"Y&Y ENTERPRISES, INC.",THAI BASIL RESTAURANT,,IN TWO ROOMS IN THE BASEMENT WITH KITCHEN AND STORAGE IN REAR.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,62,"Y&Y ENTERPRISES, INC.",NULL,132,,  Newbury ST,Boston,MA,2116,"(42.35092, -71.07668)"
LB-99533,"C,T, M&W LLC",THAI DISH RESTAURANT,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 12 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:30 A.M. - 10:00 P.M.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,40,"C,T, M&W LLC",NULL,636,, Beacon St,Boston,MA,2215,"(0.0, 0.0)"
LB-99567,THAITATION LLC,THAITATION,PATIO CONDITIONS: 1.) ALCOHOL TO BE SERVED WITH FOOD ONLY.  2.) PATIO TO BE STAFFED AT ALL TIMES.  3.) 11:00 P.M. CLOSING ON THE PATIO.,ONE ROOM USED FOR DINING AND KITCHEN ON FIRST FLOOR; STORAGE IN BASEMENT.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 8 PATRONS.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,MIDNIGHT,12:30 AM,44,THAITATION LLC,NULL,129,,  Jersey ST,Boston,MA,2215,"(42.342326, -71.096951)"
LB-99201,"RYTUBB, INC.",The Alley Bar,NONE,In one room and storage on the Mezzanine Level and in one room and kitchen on the first floor.  With a mailing address of: 14 Pi Alley  Boston  MA 02108.  Capacity breakdown: ground fl - 96; mezzanine - 84.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,180,"RYTUBB, INC.",(617)263-1449,237,275,  Washington ST,Boston,MA,2108,"(0.0, 0.0)"
LB-99047,"NINE THIRTY FOUR, INC.",THE BANSHEE,NONE,EXIT TO YARD; SIDE ENTRANCE TO CELLAR FOR STOCK  IN ONE ROOM ON THE FIRST FLOOR  ONE ROOM ON THE SECOND FLOOR.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,150,"NINE THIRTY FOUR, INC.",NULL,934,,  Dorchester AV,Dorchester,MA,2125,"(42.31897, -71.05648)"
LB-99493,"POSEIDON ENTERPRISES, INC.",THE BARKING CRAB,NONE,IN ONE ROOM  KITCHEN AND STORAGE AREA ON THE FIRST FLOOR WITH OUTSIDE DECK.  Capacity breakdown: 170 outside; 58 inside.,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALR,CV7 All Alc. Restrict.,NULL,1:00 AM,1:30 AM,228,"POSEIDON ENTERPRISES, INC.",NULL,88,,  Sleeper ST,Boston,MA,2210,"(42.353895, -71.048576)"
LB-99238,"GSTH INVESTMENT GROUP, LLC",THE BIJOU,PERMISSION TO PROVIDE BOTTLE SERVICE GRANTED BY THE LICENSING BOARD,Entrance and lobby first floor-emergency exit to Stuart St; Three rooms and kitchen 2nd floor; one room  corridor and lounge area on 3rd floor; stairways 2nd and 3rd floor; basement for storage. Total proposed capacity 800 with a 2:00 A.M. closing hour.  Capacity breakdown: 2nd fl - 323  no more tha,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,668,"GSTH INVESTMENT GROUP, LLC",NULL,51,,  Stuart ST,Boston,MA,2116,"(42.351234, -71.064128)"
LB-99263,Baird Hospitality LLC,THE BLACKSTONE GRILL,NONE,In one room and kitchen on the first floor; Cellar for stock.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,109,BAIRD HOSPITALITY LLC,NULL,15,,  Union ST,Boston,MA,2108,"(42.360853, -71.056685)"
LB-99038,"B. STONE, INC.",THE BLARNEY STONE,1) Patio must be staffed at all times. 2) Patio Hours from11:00 AM to 12:00 Midnight. 3) All patrons must be off the patio by Midnight.,Two rear entrances from yard for stock; in two rooms and kitchen on first floor; cellar for stock and  to include seasonal outdoor seating for 80 patrons from April through October.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,240,"B. STONE, INC.",NULL,1505,, Dorchester Av,Dorchester,MA,2122,"(42.299303, -71.060619)"
LB-98783,"THE SUNSET BOCCE CLUB, INC.",THE BOCCE CLUB,NONE,In whole of said building.  CAPACITY BREAKDOWN: 1ST FLOOR - 58; 2ND FLOOR - 74.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,132,"THE SUNSET BOCCE CLUB, INC.",NULL,65,,  Danny RD,Hyde Park,MA,2136,"(42.24166, -71.14034)"
LB-99058,"JAMES ASSOCIATES, INC.",THE BOSTON BEER GARDEN,,734 E Broadway: entrance from hallway of 732 E Broadway for stock entrance to cellar at 734A E Broadway for stock-in one room and kitchen first floor; cellar for stock.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,253,"JAMES ASSOCIATES, INC.",NULL,734,,E Broadway ,South Boston,MA,2127,"(0.0, 0.0)"
LB-98895,"M. COOKE, INC.",THE BOSTON SAIL LOFT,,Two emergency exits leading to alleyway; in one room  kitchen and exterior deck on the first floor; closet area for stock.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,200,"M. COOKE, INC.",NULL,80,, Atlantic Av,Boston,MA,2110,"(42.362516, -71.050719)"
